feedback_code,feedback_description,position,component_tag,type,nature,component_description,content,status,error_tag,error_description,task_types,exercises
AP_FB_0f066710,task_type | FO_1.1.1 | logos,0,AP_C_0f066710_1,Text,logos,logos,"Une fonction est un bloc d'instructions (comme un petit programme à l'intérieur de ton programme) auquel tu donnes un nom pour pouvoir l'utiliser plusieurs fois, dans différents endroits, dans ton programme.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_fae53527,task_type | FO_1.1.1 | logos,1,AP_C_fae53527_1,Text,logos,logos,"Définir une fonction, c'est donner un nom à un bloc d'instructions (comme un petit programme à l'intérieur de ton programme). Elle te permet d'utiliser ce bloc à plusieurs endroits de ton programme sans devoir l'écrire plusieurs fois.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_6bd11a1b,task_type | FO_1.1.1 | logos,1,AP_C_6bd11a1b_1,Text,logos,logos,"Une fonction est un bloc d'instructions (comme un petit programme à l'intérieur de ton programme)  auquel tu donnes un nom pour pouvoir l'utiliser plusieurs fois, dans différents endroits de ton programme. Elle rend ton programme plus facile à lire, à modifier et à corriger.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_fef8559d,task_type | FO_1.1.1 | technical,1,AP_C_fef8559d_1,Text,technique,technical,"Pour définir une fonction, utilise le mot-clé <code-inline>def</code-inline> suivi du nom de ta fonction et de parenthèses. N'oublie pas les deux-points après les parenthèses et d'indenter (décalage à droite) toutes les instructions qui composent ta fonction.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_73956ed1,task_type | FO_1.1.1 | technical+with_example_unrelated_to_exercise,0,AP_C_fef8559d_1,Text,technique,technical,"Pour définir une fonction, utilise le mot-clé <code-inline>def</code-inline> suivi du nom de ta fonction et de parenthèses. N'oublie pas les deux-points après les parenthèses et d'indenter (décalage à droite) toutes les instructions qui composent ta fonction.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_73956ed1,task_type | FO_1.1.1 | technical+with_example_unrelated_to_exercise,1,AP_C_73956ed1_1,Text,exemple,with_example_unrelated_to_exercise,"Voici comment définir une fonction pour calculer l'aire d'un rectangle puis afficher l'aire d'un rectangle de dimensions 5 et 3 et d'un autre de dimension 7 et 2 sans écrire deux fois le calcul de l'aire (tu pourras calculer l'aire de n'importe quel rectangle, autant de fois que tu le veux, dans ton programme) :

<code-block>
def calcul_aire(longueur, largeur):
    return longueur * largeur

print(calcul_aire(5, 3))
print(calcul_aire(7, 2))
</code-block>",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_108b5926,task_type | FO_1.1.1.2 | logos,1,AP_C_108b5926_1,Text,logos,logos,"Quand tu crées une fonction, tu dois identifier les informations dont elle a besoin pour qu'elle puisse faire ce que tu souhaites. Ce sont les paramètres de la fonction. Tu dois donner un nom à chacun de ces paramètres et les lister dans les parenthèses après le nom de la fonction.",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_0eaf4f70,task_type | FO_1.1.1.2 | technical,1,AP_C_0eaf4f70_1,Text,technique,technical,"Quand tu veux appeler une fonction, pour savoir quels paramètres elle attend, regarde juste après son nom entre les parenthèses de <code-inline>def</code-inline>.",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_fbef2951,task_type | FO_1.1.1.2 | logos+with_example_unrelated_to_exercise,0,AP_C_fbef2951_1,Text,logos,logos,Les paramètres sont les informations à donner à la fonction quand elle est appelée. Ils sont indiqués dans les parenthèse après le <code-inline>def</code-inline>. Tu dois les utiliser dans le corps de ta fonction sinon cela n'a pas de sens.,approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_fbef2951,task_type | FO_1.1.1.2 | logos+with_example_unrelated_to_exercise,1,AP_C_fbef2951_2,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple de fonction (appelée ""calculer_prix) qui renvoie le prix d'un article après application d'une réduction. ""prix_initial"" et ""reduction"" sont les deux paramètres de la fonction.

<code-block>
def calculer_prix(prix_initial, reduction):
    prix_final = prix_initial - (prix_initial * reduction / 100)
    return prix_final
</code-block>",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_5a59928b,task_type | FO_1.1.1.4 | logos,1,AP_C_5a59928b_1,Text,logos,logos,"Quand tu définis une fonction tu dois décider si elle renvoie ou non un élément (une valeur, une chaine de caractères, un booléen…) qui pourra être utilisé dans le reste du programme. Pour cela tu utilises le mot <code-inline>return</code-inline>.",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_105a7378,task_type | FO_1.1.1.4 | technical,1,AP_C_105a7378_1,Text,technique,technical,"Pour que ta fonction produise un résultat utilisable dans le reste du programme, utilise <code-inline>return</code-inline> suivi de la valeur que tu veux qu'elle renvoie. C'est cette valeur qui sera récupérée là où la fonction est appelée, tu peux l'affecter à une variable ou l'insérer dans une expression.",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_2c582315,task_type | FO_1.1.1.4 | logos+with_example_unrelated_to_exercise,1,AP_C_2c582315_1,Text,logos,logos,"Une fonction ne se contente pas d'exécuter des actions : elle peut aussi produire un résultat que le reste du programme pourra utiliser. Ce résultat, c'est ce qui donne du sens à la fonction, car il permet d'utiliser ce que produit la fonction ailleurs dans le programme.",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_2c582315,task_type | FO_1.1.1.4 | logos+with_example_unrelated_to_exercise,2,AP_C_2c582315_2,Text,exemple,with_example_unrelated_to_exercise,"Voici une fonction (appelée ""calculer_prix"") qui renvoie le résultat du calcul ""prix_unitaire"" multiplié par ""quantite"". ""prix_unitaire"" et ""quantite"" sont les paramètres de la fonction.

<code-block>
def calculer_prix(quantite, prix_unitaire):
    return quantite*prix_unitaire #La fonction calculer_prix renvoie le résultat du calcul quantite multiplié par prix_unitaire
</code-block>",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_3253d66a,task_type | FO_1.1.1.4 | technical+with_example_unrelated_to_exercise,0,AP_C_3253d66a_2,Text,technique,technical,"Pense à ce que ta fonction doit produire comme résultat utilisable dans le programme. Vérifie que tu utilises bien <code-inline>return</code-inline> suivi de la valeur ou de l'expression à renvoyer. Attention, utiliser <code-inline>print</code-inline> va permettre d'afficher ce résultat mais pas de l'utiliser dans le reste du programme.",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_3253d66a,task_type | FO_1.1.1.4 | technical+with_example_unrelated_to_exercise,1,AP_C_3253d66a_1,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple de fonction (appelée ""calculer_prix) qui prend comme information (les paramètres) une quantité et un prix unitaire et renvoie le prix total avec une réduction de 10%.

<code-block>
def calculer_prix(quantite, prix_unitaire):
    prix_total = quantite * prix_unitaire
    reduction = prix_total * 0.1 #calcul du montant de la réduction
    return prix_total - reduction #calcul du prix final qui est renvoyé par la fonction
</code-block>",approved,,,"FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
